dataset,feature_set,model,k_pct,auc_mean,auc_std,ap_mean,P_mean,P_std,R_mean,R_std,DOR_mean,DOR_std
v0_baseline,DEBATE5,RF,20,0.5569517474972343,0.018917927757978036,0.16125543305466045,0.15950704225352114,0.014135378847162174,0.25593220338983047,0.022680494873412744,1.4612356916109126,0.202448949384562
v0_baseline,DEBATE5,RF,25,0.5569517474972343,0.018917927757978036,0.16125543305466045,0.15830985915492957,0.015172231161542383,0.3175141242937853,0.030430181143206458,1.4864955805769986,0.24853441715628077
v0_baseline,DEBATE5,RF,30,0.5569517474972343,0.018917927757978036,0.16125543305466045,0.15586854460093896,0.011734617975573703,0.3751412429378531,0.028242639873414667,1.4859979037142355,0.20760014608391822
v2a_y_anchored,BIBLIO,GBT,1,0.749597895810286,0.01674831980752555,0.3286052837938237,0.63,0.10917018207812407,0.05338983050847458,0.009251710345603735,13.79173988588382,6.774971054854941
v2a_y_anchored,BIBLIO,GBT,5,0.749597895810286,0.01674831980752555,0.3286052837938237,0.4323943661971831,0.034530105301697166,0.17344632768361581,0.01385105918881638,6.32131962564582,0.9411199188776453
v2a_y_anchored,BIBLIO,GBT,10,0.749597895810286,0.01674831980752555,0.3286052837938237,0.3640845070422535,0.02555515431673095,0.292090395480226,0.02050187521455254,5.303954129433035,0.7274447056038919
v2a_y_anchored,BIBLIO,GBT,15,0.749597895810286,0.01674831980752555,0.3286052837938237,0.32300469483568073,0.023380093141762873,0.3887005649717514,0.028135366323138383,4.886398451518344,0.756903357105028
v2a_y_anchored,BIBLIO,GBT,20,0.749597895810286,0.01674831980752555,0.3286052837938237,0.2971830985915493,0.017822972797714824,0.4768361581920904,0.028597312285598947,4.796442038210092,0.7100078024746522
v2a_y_anchored,BIBLIO,GBT,25,0.749597895810286,0.01674831980752555,0.3286052837938237,0.2757746478873239,0.013857322677463497,0.5531073446327683,0.027792935313556713,4.7716966461523125,0.6886712992058917
v2a_y_anchored,BIBLIO,GBT,30,0.749597895810286,0.01674831980752555,0.3286052837938237,0.2573943661971831,0.01085851868789962,0.6194915254237288,0.026134061926809237,4.786497596357853,0.6404596951000927
v2a_y_anchored,BIBLIO,LogReg,1,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.4633333333333334,0.07639540110465759,0.03926553672316384,0.006474186534293018,6.559961137562792,1.9954995938443292
v2a_y_anchored,BIBLIO,LogReg,5,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.35985915492957743,0.04824680837334015,0.14435028248587572,0.019353239516989546,4.549232768520534,1.0012097464548928
v2a_y_anchored,BIBLIO,LogReg,10,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.3232394366197183,0.03456788028870872,0.2593220338983051,0.02773242373444428,4.242389315424316,0.8018875562295432
v2a_y_anchored,BIBLIO,LogReg,15,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.2955399061032864,0.019295777653928637,0.35564971751412433,0.023220342600490402,4.043963840217628,0.5150570711421234
v2a_y_anchored,BIBLIO,LogReg,20,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.2776408450704225,0.019927508032339513,0.44548022598870063,0.03197408068465775,4.101192535427659,0.6486000634303575
v2a_y_anchored,BIBLIO,LogReg,25,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.257887323943662,0.017471841518144092,0.5172316384180791,0.035042394005317216,4.0255242652260605,0.6867591720730821
v2a_y_anchored,BIBLIO,LogReg,30,0.7312243634393623,0.01925447035104476,0.27699156079749143,0.24342723004694836,0.012400336260889865,0.5858757062146893,0.029844877102480714,4.066828643732871,0.5991222408012721
v2a_y_anchored,BIBLIO,RF,1,0.7533832293075113,0.01878713089937763,0.3323667906513452,0.6333333333333333,0.10259783520851541,0.053672316384180796,0.008694731797331814,14.100340117690976,8.032461030975934
v2a_y_anchored,BIBLIO,RF,5,0.7533832293075113,0.01878713089937763,0.3323667906513452,0.4302816901408451,0.05396696982461464,0.17259887005649718,0.021647767556766326,6.355167534226416,1.4942868925350126
v2a_y_anchored,BIBLIO,RF,10,0.7533832293075113,0.01878713089937763,0.3323667906513452,0.36795774647887325,0.02480622655823384,0.2951977401129944,0.01990104051564524,5.4161110195155855,0.71791991541836
v2a_y_anchored,BIBLIO,RF,15,0.7533832293075113,0.01878713089937763,0.3323667906513452,0.3262910798122066,0.020689823183028706,0.3926553672316384,0.024897922813475217,4.984381149309864,0.6964444304611901
v2a_y_anchored,BIBLIO,RF,20,0.7533832293075113,0.01878713089937763,0.3323667906513452,0.30017605633802813,0.016901215405371456,0.481638418079096,0.027118334322742917,4.91114838023568,0.7237789366956638
v2a_y_anchored,BIBLIO,RF,25,0.7533832293075113,0.01878713089937763,0.3323667906513452,0.2785915492957746,0.014184964207787486,0.5587570621468927,0.028450069456296915,4.9073644303521124,0.7065029490358405
v2a_y_anchored,BIBLIO,RF,30,0.7533832293075113,0.01878713089937763,0.3323667906513452,0.2596244131455399,0.013418051504063416,0.6248587570621469,0.03229429345045772,4.9438714855707655,0.8355862772995616
v2a_y_anchored,BIBLIO+DEBATE25,GBT,1,0.7505173975789526,0.017366455806792965,0.3257349436155761,0.5833333333333333,0.08617946730396582,0.04943502824858757,0.0073033446867767655,10.879906616430041,4.81118207903571
v2a_y_anchored,BIBLIO+DEBATE25,GBT,5,0.7505173975789526,0.017366455806792965,0.3257349436155761,0.4267605633802817,0.0507001069079397,0.17118644067796612,0.02033733101956903,6.2347836715453635,1.3881847593122851
v2a_y_anchored,BIBLIO+DEBATE25,GBT,10,0.7505173975789526,0.017366455806792965,0.3257349436155761,0.3686619718309859,0.033910364494325725,0.2957627118644068,0.02720492518753814,5.4759500724227905,1.0276770179421024
v2a_y_anchored,BIBLIO+DEBATE25,GBT,15,0.7505173975789526,0.017366455806792965,0.3257349436155761,0.326056338028169,0.02332420587735639,0.39237288135593223,0.028068112157496675,4.986680251041225,0.7606868932150019
v2a_y_anchored,BIBLIO+DEBATE25,GBT,20,0.7505173975789526,0.017366455806792965,0.3257349436155761,0.2982394366197183,0.017404334739562603,0.47853107344632767,0.027925599243140017,4.834343472466743,0.6777308182648312
v2a_y_anchored,BIBLIO+DEBATE25,GBT,25,0.7505173975789526,0.017366455806792965,0.3257349436155761,0.2769014084507042,0.010622763650319684,0.5553672316384181,0.021305542914482965,4.804449709268717,0.519906693499658
