field,feature_set,model,v0_d_mean,v0_win,v2a_d_mean,v2a_win,v2a_better_d,v2a_better_win
GLOBAL,BIBLIO+DEBATE25,SVM,0.009432888548964995,13,0.01013716840346543,13,True,False
01,BIBLIO+DEBATE25,SVM,0.011742211231850281,11,0.0003539394805872675,8,False,False
03,BIBLIO+DEBATE25,SVM,-0.058472596377664575,7,0.012915417471758967,8,True,True
07,BIBLIO+DEBATE25,SVM,0.0384248448640931,11,0.03414737385513046,12,False,True
08,BIBLIO+DEBATE25,SVM,-0.012641004628770916,10,-0.007074650969128027,9,True,False
09,BIBLIO+DEBATE25,SVM,0.004551863419185215,9,0.03703593652958526,15,True,True
12,BIBLIO+DEBATE25,SVM,-0.014391048399049111,7,0.0031462305729199223,8,True,True
13,BIBLIO+DEBATE25,SVM,0.09098233288552035,14,0.08903545314697013,16,False,True
14,BIBLIO+DEBATE25,SVM,0.029088091130003307,10,0.00797892748739546,8,False,False
GLOBAL,BIBLIO+DEBATE25,FFN,-0.05705759434026687,0,-0.05360402809835331,0,True,False
01,BIBLIO+DEBATE25,FFN,-0.06241490054358221,0,-0.06535373497747235,0,False,False
03,BIBLIO+DEBATE25,FFN,-0.10385820109138358,2,-0.05448264157896132,6,True,True
07,BIBLIO+DEBATE25,FFN,-0.08080617557838879,6,-0.09804309801500133,2,False,False
08,BIBLIO+DEBATE25,FFN,-0.03136730833611408,6,-0.03147527575662011,7,False,True
09,BIBLIO+DEBATE25,FFN,-0.03167496327930568,5,-0.006349413655936426,9,True,True
12,BIBLIO+DEBATE25,FFN,-0.07227800769635136,4,-0.08124977212902906,5,False,True
13,BIBLIO+DEBATE25,FFN,-0.08350230322836535,6,-0.05307804528066531,5,True,False
14,BIBLIO+DEBATE25,FFN,-0.1264327114239595,4,-0.06909845735210995,4,True,False
