dataset,feature_set,model,T_pct,P_mean,P_std,R_mean,R_std,F1_mean,F1_std,DOR_mean,DOR_std
v2a_y_anchored,BIBLIO+FOCAL6,GBT,10,0.35985915492957743,0.0346433066936587,0.28870056497175145,0.02779293531355672,0.3203761755485893,0.03084231693103158,5.216164986941098,0.9665924335366234
v2a_y_anchored,BIBLIO+FOCAL6,GBT,15,0.32582159624413143,0.02245889391721753,0.392090395480226,0.02702680454444822,0.35589743589743594,0.024532022586499138,4.975364037526098,0.7380501844103045
v2a_y_anchored,BIBLIO+FOCAL6,GBT,20,0.2959507042253521,0.017898782540660175,0.47485875706214686,0.02871895051721746,0.3646420824295011,0.022053163737733136,4.747736166443119,0.6796756238551329
v2a_y_anchored,BIBLIO+FOCAL6,LogReg,5,0.36901408450704226,0.03468095838034324,0.1480225988700565,0.013911570875730903,0.21129032258064515,0.019857645524228792,4.7090240693583905,0.749983084119057
v2a_y_anchored,BIBLIO+FOCAL6,LogReg,10,0.32288732394366193,0.026376927071041143,0.2590395480225989,0.021161150531569726,0.2874608150470219,0.023482906859484873,4.209239112787814,0.6343533483257525
v2a_y_anchored,BIBLIO+FOCAL6,LogReg,15,0.2964788732394366,0.021230833905342753,0.35677966101694913,0.025548969614903997,0.32384615384615384,0.023190603188912855,4.077409676321921,0.6000426071814556
v2a_y_anchored,BIBLIO+FOCAL6,LogReg,20,0.27746478873239433,0.01812070856593935,0.4451977401129944,0.02907503521314561,0.3418655097613883,0.0223265997081422,4.0887934901362,0.6207987852263549
v2a_y_anchored,BIBLIO+FOCAL6,RF,5,0.421830985915493,0.040737569737458616,0.1692090395480226,0.016341059047229163,0.24153225806451611,0.02332554396257711,6.054552682462239,1.1832884697383426
v2a_y_anchored,BIBLIO+FOCAL6,RF,10,0.3630281690140845,0.029212957440258806,0.29124293785310734,0.023436383935122887,0.3231974921630094,0.0260077740220486,5.2877164458637935,0.8562281620163876
v2a_y_anchored,BIBLIO+FOCAL6,RF,15,0.3307511737089202,0.022098299383308845,0.3980225988700565,0.026592868749405554,0.36128205128205126,0.024138142403306577,5.142897583134239,0.7928560942052092
v2a_y_anchored,BIBLIO+FOCAL6,RF,20,0.2991197183098592,0.014828171140504696,0.47994350282485876,0.02379209380736347,0.36854663774403473,0.0182698507761533,4.857489696516061,0.6029702575782304
v2a_y_anchored,BIBLIO+FOCAL6,SVM,5,0.2908450704225352,0.04317623591696338,0.11666666666666667,0.01731928107403615,0.16653225806451613,0.02472187701697096,3.2117476286345683,0.738180617869958
v2a_y_anchored,BIBLIO+FOCAL6,SVM,10,0.24577464788732395,0.022606909662883798,0.19717514124293783,0.0181366167916921,0.21880877742946708,0.020126527724949845,2.63505260750816,0.3797622033347071
v2a_y_anchored,BIBLIO+FOCAL6,SVM,15,0.2312206572769953,0.021263593344508475,0.27824858757062143,0.025588391990849207,0.2525641025641026,0.023226386576309273,2.568361180830894,0.4120587390928448
v2a_y_anchored,BIBLIO+FOCAL6,SVM,20,0.22464788732394364,0.013253860256617277,0.36045197740112994,0.021266080863724925,0.2767895878524946,0.016330135847632554,2.6303678951414824,0.3010561216587949
v2a_y_anchored,BIBLIO+FOCAL6,XGB,5,0.39577464788732397,0.04451567415895584,0.15875706214689264,0.017856569860372123,0.22661290322580646,0.025488813429724706,5.3840221577650045,1.1809704260042266
v2a_y_anchored,BIBLIO+FOCAL6,XGB,10,0.3313380281690141,0.026886578566197555,0.26581920903954803,0.021570023482486184,0.29498432601880875,0.02393664047899721,4.418792545963271,0.6743516541881635
v2a_y_anchored,BIBLIO+FOCAL6,XGB,15,0.29976525821596245,0.024573941580409656,0.36073446327683617,0.029572031393374335,0.3274358974358974,0.026842305418601338,4.181611422060762,0.6991496486775465
v2a_y_anchored,BIBLIO+FOCAL6,XGB,20,0.27288732394366194,0.016216509564368906,0.4378531073446328,0.02601971026147327,0.33622559652928413,0.019980428270198573,3.9309908195708223,0.5256588287274879
v2a_y_anchored,FOCAL6,FFN,5,0.14929577464788732,0.0429641259587562,0.059887005649717516,0.017234197418484126,0.08548387096774193,0.024600426960255564,1.3187845637094582,0.45179918081945675
v2a_y_anchored,FOCAL6,FFN,10,0.1545774647887324,0.02497401524954827,0.12401129943502824,0.02003565065217998,0.13761755485893418,0.0222339195325132,1.3569350449744835,0.2949972127016387
v2a_y_anchored,FOCAL6,FFN,15,0.16384976525821596,0.019200853875762137,0.19717514124293783,0.023106112291171384,0.17897435897435898,0.02097324038737096,1.4906354772499377,0.2662203532922817
v2a_y_anchored,FOCAL6,FFN,20,0.1568661971830986,0.01703964195907671,0.25169491525423726,0.02734044246541123,0.19327548806941433,0.02099461308623769,1.4280991736645294,0.25155261138359697
v2a_y_anchored,FOCAL6,GBT,5,0.17183098591549295,0.040254154512190256,0.06892655367231638,0.016147146725228854,0.09838709677419355,0.023048749761012163,1.5588172401783194,0.4302513923666182
v2a_y_anchored,FOCAL6,GBT,10,0.1686619718309859,0.02639671100562157,0.13531073446327685,0.02117702238869075,0.15015673981191222,0.023500520142935813,1.5259376888678866,0.3279824747062091
v2a_y_anchored,FOCAL6,GBT,15,0.1619718309859155,0.0245373283772243,0.19491525423728814,0.029527971436998736,0.1769230769230769,0.026802312535121938,1.4735360780488884,0.33211512229227264
v2a_y_anchored,FOCAL6,GBT,20,0.15404929577464788,0.01758245323476153,0.24717514124293785,0.028211393890803817,0.18980477223427333,0.02166341309619208,1.3893221643435516,0.25016497801880283
v2a_y_anchored,FOCAL6,LogReg,5,0.16056338028169015,0.02904494317864332,0.06440677966101696,0.011650796416291949,0.09193548387096775,0.016630572303900595,1.4229246115276941,0.32171378201006395
v2a_y_anchored,FOCAL6,LogReg,10,0.15528169014084509,0.026593740879144994,0.12457627118644068,0.021335091552760387,0.13824451410658306,0.023675932318737228,1.3664531294462736,0.3019769857671217
v2a_y_anchored,FOCAL6,LogReg,15,0.15469483568075118,0.022462767587396213,0.18615819209039547,0.02703146607974798,0.16897435897435897,0.024536253826232785,1.3761879268081585,0.284796309779537
v2a_y_anchored,FOCAL6,LogReg,20,0.15827464788732395,0.01913228914247747,0.25395480225988704,0.030698136251206813,0.19501084598698482,0.023572972305698933,1.4515465540402344,0.2861174041635678
v2a_y_anchored,FOCAL6,RF,5,0.18028169014084508,0.0503902642816854,0.07231638418079096,0.020213043864404878,0.1032258064516129,0.028852490032255346,1.6713040510885242,0.5623029025221229
v2a_y_anchored,FOCAL6,RF,10,0.17535211267605633,0.031152259210997766,0.14067796610169492,0.024992207954585784,0.1561128526645768,0.027734299736436884,1.6159743065913665,0.4017860330882316
v2a_y_anchored,FOCAL6,RF,15,0.1687793427230047,0.02046289704356766,0.2031073446327684,0.024624842204971253,0.18435897435897436,0.022351779847589303,1.557946805493549,0.276881770320914
v2a_y_anchored,FOCAL6,RF,20,0.16602112676056338,0.022101170085902615,0.2663841807909605,0.035461764431617755,0.20455531453362258,0.027230942752261778,1.5704266100594964,0.33852281834146986
v2a_y_anchored,FOCAL6,SVM,5,0.1091549295774648,0.03259357961068217,0.043785310734463276,0.013074260747787766,0.0625,0.018662452841600275,0.9124182490002426,0.29782896373526296
v2a_y_anchored,FOCAL6,SVM,10,0.10633802816901408,0.021299025877381424,0.08531073446327683,0.01708735409371843,0.09467084639498433,0.018962142160427346,0.8485754859761094,0.20187731364961523
v2a_y_anchored,FOCAL6,SVM,15,0.11408450704225352,0.01576352461795114,0.13728813559322034,0.018969665218212386,0.12461538461538461,0.0172186191980697,0.9069547196801562,0.16396011423162027
v2a_y_anchored,FOCAL6,SVM,20,0.12253521126760562,0.018653053241848,0.19661016949152543,0.029929192772230686,0.1509761388286334,0.022982503777374555,0.9948965556826517,0.21497102340230376
v2a_y_anchored,FOCAL6,XGB,5,0.17253521126760563,0.04032541805870499,0.0692090395480226,0.01617573266761612,0.09879032258064516,0.023089553888452047,1.5680237738150684,0.45484813351383685
v2a_y_anchored,FOCAL6,XGB,10,0.1556338028169014,0.02673323875151458,0.12485875706214689,0.021447005100085136,0.1385579937304075,0.023800124781912662,1.3711375186289028,0.31474103522522845
v2a_y_anchored,FOCAL6,XGB,15,0.14647887323943662,0.024870737655797334,0.17627118644067796,0.029929192772230686,0.16,0.027166498054794007,1.2779044392227605,0.3014437789669055
v2a_y_anchored,FOCAL6,XGB,20,0.14577464788732394,0.018750750410442184,0.23389830508474577,0.030085949811104972,0.17960954446854666,0.023102876861455884,1.2789665461174446,0.24487171245564174
