dataset,field,feature_set,model,n_test_mean,n_pos_mean,auc_mean,auc_std,P_mean,P_std,R_mean,R_std,DOR_mean,DOR_std
v2a_y_anchored,07,BIBLIO+DEBATE25,GBT,60.55,7.95,0.7342271750820799,0.07741696607522532,0.2988095238095238,0.1542018011850763,0.2604688367188367,0.12938928875002598,4.670578853198525,2.7805253032811392
v2a_y_anchored,07,BIBLIO+DEBATE25,LogReg,60.55,7.95,0.7343157471501952,0.07364412552402849,0.30214285714285716,0.13628556716731496,0.2556636419136419,0.12262634082568159,4.577538543357389,3.181947707612986
v2a_y_anchored,07,BIBLIO+DEBATE25,RF,60.55,7.95,0.7296711949346386,0.06076372183881517,0.29761904761904756,0.18091610241792955,0.24889832389832386,0.12506381247038575,4.79784685790719,4.123330025795923
v2a_y_anchored,07,BIBLIO+DEBATE5,GBT,60.55,7.95,0.738910433277314,0.07965685050042237,0.3357142857142857,0.1390254728819039,0.2904273504273504,0.11307540037381077,5.394567579172138,3.0653506675407285
v2a_y_anchored,07,BIBLIO+DEBATE5,LogReg,60.55,7.95,0.7435298568907054,0.07210166214198052,0.31476190476190474,0.1582357379128826,0.2638616938616939,0.1260489139693598,5.014784382485582,3.5973416457380583
v2a_y_anchored,07,BIBLIO+DEBATE5,RF,60.55,7.95,0.7312531395210515,0.06869658492831607,0.3230952380952381,0.16061906582346663,0.2727078477078477,0.11484318820714033,5.270127755162287,4.027831534434465
v2a_y_anchored,08,BIBLIO,GBT,251.3,19.45,0.6896075460739554,0.06343134654383228,0.2251331908831909,0.08015783671298721,0.3003490947140833,0.09421124944441978,5.172178244679519,2.7730908289231238
v2a_y_anchored,08,BIBLIO,LogReg,251.3,19.45,0.6531390168674633,0.06746778876337214,0.16058190883190884,0.062362596299361556,0.216906132927586,0.08109022776712073,3.1255994806788157,1.7789672065519022
v2a_y_anchored,08,BIBLIO,RF,251.3,19.45,0.6827066205241739,0.05980344212440712,0.21348789173789173,0.08950077616340422,0.2787766620298085,0.08540568189452444,4.605604244617749,2.3194352589894702
v2a_y_anchored,08,BIBLIO+DEBATE25,GBT,251.3,19.45,0.6793088328539701,0.06440869889684886,0.2014757834757835,0.06004707729826031,0.27237835568956853,0.07602200360645402,4.250272363006089,1.7870195711398684
v2a_y_anchored,08,BIBLIO+DEBATE25,LogReg,251.3,19.45,0.6534863834694884,0.06530432037301534,0.14103205128205126,0.05022702067828089,0.19321510256207053,0.07297578422300534,2.630793498277204,1.364610704526687
v2a_y_anchored,08,BIBLIO+DEBATE25,RF,251.3,19.45,0.6843005355516728,0.05764279735119283,0.20757051282051284,0.06609936320505616,0.2817694156529969,0.09598359406853217,4.587476335834905,2.3152048629894453
v2a_y_anchored,08,BIBLIO+DEBATE5,GBT,251.3,19.45,0.6833197451376312,0.06450598541060837,0.21734045584045583,0.0705478053589706,0.2891153051118726,0.07710982355797243,4.731069888901961,2.125537975374937
v2a_y_anchored,08,BIBLIO+DEBATE5,LogReg,251.3,19.45,0.6585092417155294,0.06570945310231854,0.13540527065527067,0.05067128680140641,0.1839591910441453,0.07138808102348193,2.475305715113164,1.3244919675106186
v2a_y_anchored,08,BIBLIO+DEBATE5,RF,251.3,19.45,0.6831012903699636,0.05954660692665092,0.20932122507122508,0.07407401197198571,0.28154476530334654,0.0913334501231177,4.598666890936817,2.231830202684543
v2a_y_anchored,09,BIBLIO,GBT,427.7,40.7,0.7029594074498993,0.03325194003346573,0.246844110044189,0.046468417419964304,0.2630006028629409,0.048823745547832816,4.07058597495481,1.1499461183877575
v2a_y_anchored,09,BIBLIO,LogReg,427.7,40.7,0.6778643750781173,0.04381910717518788,0.19449103665822945,0.04108115057687631,0.20674925690714768,0.040275777245450464,2.7843455021707655,0.7659131268249922
v2a_y_anchored,09,BIBLIO,RF,427.7,40.7,0.6928392398892074,0.0380439512137261,0.24094252408421685,0.047050340938470235,0.2552608452005683,0.04168199621297121,3.8631397442390094,0.9938388288288954
v2a_y_anchored,09,BIBLIO+DEBATE25,GBT,427.7,40.7,0.7013177171073661,0.035043548022673295,0.22473217028107406,0.03516736086140596,0.24040119405378352,0.043348294519820196,3.4930921268299393,0.963815606724
