dataset,feature_set,model,seed,T_pct,auroc,auprc,precision,recall,f1,DOR,TP,FP,TN,FN,k
v0_baseline,BIBLIO,XGB,0,5,0.6827644919123907,0.2445023252216969,0.36619718309859156,0.14689265536723164,0.20967741935483872,4.5997533819316,26,45,1196,151,71
v0_baseline,BIBLIO,XGB,0,10,0.6827644919123907,0.2445023252216969,0.29577464788732394,0.23728813559322035,0.2633228840125392,3.562537864184612,42,100,1141,135,142
v0_baseline,BIBLIO,XGB,0,15,0.6827644919123907,0.2445023252216969,0.24413145539906103,0.2937853107344633,0.2666666666666666,2.798773944469799,52,161,1080,125,213
v0_baseline,BIBLIO,XGB,0,20,0.6827644919123907,0.2445023252216969,0.22183098591549297,0.3559322033898305,0.2733188720173536,2.555097735763502,63,221,1020,114,284
v0_baseline,BIBLIO,SVM,0,5,0.6224340676600336,0.1995223465332834,0.29577464788732394,0.11864406779661017,0.16935483870967744,3.2413564040110083,21,50,1191,156,71
v0_baseline,BIBLIO,SVM,0,10,0.6224340676600336,0.1995223465332834,0.2535211267605634,0.2033898305084746,0.22570532915360503,2.7502612850246355,36,106,1135,141,142
v0_baseline,BIBLIO,SVM,0,15,0.6224340676600336,0.1995223465332834,0.23943661971830985,0.288135593220339,0.26153846153846155,2.7044937671024627,51,162,1079,126,213
v0_baseline,BIBLIO,SVM,0,20,0.6224340676600336,0.1995223465332834,0.22183098591549297,0.3559322033898305,0.2733188720173536,2.555097735763502,63,221,1020,114,284
v0_baseline,BIBLIO,FFN,0,5,0.6662432792945365,0.24412710077192523,0.38028169014084506,0.15254237288135594,0.21774193548387097,4.917130165366382,27,44,1197,150,71
v0_baseline,BIBLIO,FFN,0,10,0.6662432792945365,0.24412710077192523,0.323943661971831,0.2598870056497175,0.28840125391849525,4.197541322721094,46,96,1145,131,142
v0_baseline,BIBLIO,FFN,0,15,0.6662432792945365,0.24412710077192523,0.2863849765258216,0.3446327683615819,0.3128205128205129,3.7714346021248155,61,152,1089,116,213
v0_baseline,BIBLIO,FFN,0,20,0.6662432792945365,0.24412710077192523,0.2640845070422535,0.423728813559322,0.3253796095444685,3.630188020257291,75,209,1032,102,284
v0_baseline,FOCAL6,LogReg,0,5,0.5664149105195828,0.16941211432230358,0.23943661971830985,0.096045197740113,0.13709677419354838,2.375746663237017,17,54,1187,160,71
v0_baseline,FOCAL6,LogReg,0,10,0.5664149105195828,0.16941211432230358,0.19718309859154928,0.15819209039548024,0.1755485893416928,1.87721809233106,28,114,1127,149,142
v0_baseline,FOCAL6,LogReg,0,15,0.5664149105195828,0.16941211432230358,0.19248826291079812,0.23163841807909605,0.2102564102564103,1.884981684981685,41,172,1069,136,213
v0_baseline,FOCAL6,LogReg,0,20,0.5664149105195828,0.16941211432230358,0.16901408450704225,0.2711864406779661,0.20824295010845986,1.5922926853159411,48,236,1005,129,284
v0_baseline,FOCAL6,RF,0,5,0.5705804959550572,0.16246288239076495,0.18309859154929578,0.07344632768361582,0.10483870967741936,1.6602758943184475,13,58,1183,164,71
v0_baseline,FOCAL6,RF,0,10,0.5705804959550572,0.16246288239076495,0.19718309859154928,0.15819209039548024,0.1755485893416928,1.87721809233106,28,114,1127,149,142
v0_baseline,FOCAL6,RF,0,15,0.5705804959550572,0.16246288239076495,0.15492957746478872,0.1864406779661017,0.16923076923076924,1.3633888947464272,33,180,1061,144,213
v0_baseline,FOCAL6,RF,0,20,0.5705804959550572,0.16246288239076495,0.16901408450704225,0.2711864406779661,0.20824295010845986,1.5922926853159411,48,236,1005,129,284
v0_baseline,FOCAL6,GBT,0,5,0.5481523466131287,0.1514739775983603,0.15492957746478872,0.062146892655367235,0.08870967741935484,1.348844712481076,11,60,1181,166,71
v0_baseline,FOCAL6,GBT,0,10,0.5481523466131287,0.1514739775983603,0.14084507042253522,0.11299435028248588,0.12539184952978055,1.1894914156138645,20,122,1119,157,142
v0_baseline,FOCAL6,GBT,0,15,0.5481523466131287,0.1514739775983603,0.15492957746478872,0.1864406779661017,0.16923076923076924,1.3633888947464272,33,180,1061,144,213
v0_baseline,FOCAL6,GBT,0,20,0.5481523466131287,0.1514739775983603,0.15140845070422534,0.24293785310734464,0.18655097613882865,1.3398831651619756,43,241,1000,134,284
v0_baseline,FOCAL6,XGB,0,5,0.5350068515913446,0.15373553303861848,0.15492957746478872,0.062146892655367235,0.08870967741935484,1.348844712481076,11,60,1181,166,71
v0_baseline,FOCAL6,XGB,0,10,0.5350068515913446,0.15373553303861848,0.16901408450704225,0.13559322033898305,0.15047021943573669,1.513256092029852,24,118,1123,153,142
v0_baseline,FOCAL6,XGB,0,15,0.5350068515913446,0.15373553303861848,0.18309859154929578,0.22033898305084745,0.2,1.7446960371561864,39,174,1067,138,213
v0_baseline,FOCAL6,XGB,0,20,0.5350068515913446,0.15373553303861848,0.1619718309859155,0.2598870056497175,0.19956616052060738,1.487839873735562,46,238,1003,131,284
v0_baseline,FOCAL6,SVM,0,5,0.47321961057466877,0.1276847283757754,0.15492957746478872,0.062146892655367235,0.08870967741935484,1.348844712481076,11,60,1181,166,71
