subset_id,subset_label,subset_size,k_pct,Precision_mean,Precision_std,Recall_mean,Recall_std,DOR_mean,DOR_std,n_obs
27,delta_H+prediction_volatility,2,15,0.29233,0.04067,0.35179,0.04894,4.05697,1.1119,30
27,delta_H+prediction_volatility,2,20,0.26831,0.03103,0.43051,0.0498,3.86235,0.9143,30
28,semantic_coherence+prediction_volatility,2,5,0.39108,0.08936,0.15687,0.03585,5.58578,2.52674,30
28,semantic_coherence+prediction_volatility,2,10,0.32934,0.05419,0.26422,0.04348,4.49858,1.39969,30
28,semantic_coherence+prediction_volatility,2,15,0.29656,0.04024,0.35687,0.04842,4.17401,1.13425,30
28,semantic_coherence+prediction_volatility,2,20,0.27394,0.03266,0.43955,0.0524,4.06006,1.04788,30
29,cross_domain_attack+conf_gap_change+var_conf_pro,3,5,0.37136,0.06217,0.14896,0.02494,4.87867,1.45329,30
29,cross_domain_attack+conf_gap_change+var_conf_pro,3,10,0.3277,0.05321,0.2629,0.04269,4.44587,1.31387,30
29,cross_domain_attack+conf_gap_change+var_conf_pro,3,15,0.30016,0.04215,0.36121,0.05073,4.28334,1.14591,30
29,cross_domain_attack+conf_gap_change+var_conf_pro,3,20,0.277,0.03563,0.44444,0.05716,4.17838,1.09387,30
30,cross_domain_attack+conf_gap_change+H_final,3,5,0.37136,0.07158,0.14896,0.02871,4.92545,1.61166,30
30,cross_domain_attack+conf_gap_change+H_final,3,10,0.32113,0.05378,0.25763,0.04314,4.28766,1.31477,30
30,cross_domain_attack+conf_gap_change+H_final,3,15,0.29092,0.04536,0.35009,0.05458,4.0487,1.22355,30
30,cross_domain_attack+conf_gap_change+H_final,3,20,0.26972,0.03464,0.43277,0.05559,3.93441,1.04494,30
31,cross_domain_attack+conf_gap_change+delta_H,3,5,0.37183,0.06886,0.14915,0.02762,4.91514,1.50293,30
31,cross_domain_attack+conf_gap_change+delta_H,3,10,0.33075,0.05216,0.26535,0.04185,4.51906,1.32245,30
31,cross_domain_attack+conf_gap_change+delta_H,3,15,0.30266,0.04048,0.36422,0.04871,4.3478,1.13103,30
31,cross_domain_attack+conf_gap_change+delta_H,3,20,0.27606,0.03156,0.44294,0.05063,4.1206,1.00939,30
32,cross_domain_attack+conf_gap_change+semantic_coherence,3,5,0.39061,0.06678,0.15669,0.02679,5.36933,1.67314,30
32,cross_domain_attack+conf_gap_change+semantic_coherence,3,10,0.33545,0.05623,0.26911,0.04511,4.66478,1.43544,30
32,cross_domain_attack+conf_gap_change+semantic_coherence,3,15,0.30031,0.03882,0.36139,0.04672,4.26848,1.06752,30
32,cross_domain_attack+conf_gap_change+semantic_coherence,3,20,0.27711,0.0311,0.44463,0.0499,4.15036,0.98021,30
33,cross_domain_attack+conf_gap_change+prediction_volatility,3,5,0.38967,0.07936,0.15631,0.03183,5.45942,2.21503,30
33,cross_domain_attack+conf_gap_change+prediction_volatility,3,10,0.32911,0.05373,0.26403,0.0431,4.48682,1.35726,30
33,cross_domain_attack+conf_gap_change+prediction_volatility,3,15,0.29984,0.04435,0.36083,0.05337,4.2897,1.20182,30
33,cross_domain_attack+conf_gap_change+prediction_volatility,3,20,0.2784,0.03409,0.4467,0.05469,4.21597,1.06847,30
34,cross_domain_attack+var_conf_pro+H_final,3,5,0.37746,0.07447,0.15141,0.02987,5.11472,1.96816,30
34,cross_domain_attack+var_conf_pro+H_final,3,10,0.32207,0.04903,0.25838,0.03934,4.2836,1.19633,30
34,cross_domain_attack+var_conf_pro+H_final,3,15,0.29468,0.03962,0.35461,0.04768,4.11568,1.092,30
34,cross_domain_attack+var_conf_pro+H_final,3,20,0.2743,0.03283,0.44011,0.05267,4.06888,1.01011,30
35,cross_domain_attack+var_conf_pro+delta_H,3,5,0.37793,0.06033,0.1516,0.0242,5.03122,1.53382,30
35,cross_domain_attack+var_conf_pro+delta_H,3,10,0.323,0.04846,0.25913,0.03888,4.30244,1.17536,30
35,cross_domain_attack+var_conf_pro+delta_H,3,15,0.29124,0.04007,0.35047,0.04823,4.01787,1.02909,30
35,cross_domain_attack+var_conf_pro+delta_H,3,20,0.26913,0.03385,0.43183,0.05431,3.90825,1.00314,30
36,cross_domain_attack+var_conf_pro+semantic_coherence,3,5,0.38873,0.06955,0.15593,0.0279,5.34947,1.82185,30
