subset_id,subset_label,subset_size,k_pct,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,DOR_mean,DOR_std,n_obs
26,cross_domain_attack+var_conf_pro+H_final,3,5,0.37606,0.07409,0.15085,0.02972,0.21532,0.04242,5.06991,1.81035,120
26,cross_domain_attack+var_conf_pro+H_final,3,10,0.32359,0.04864,0.2596,0.03902,0.28809,0.04331,4.31823,1.15161,120
26,cross_domain_attack+var_conf_pro+H_final,3,15,0.29261,0.03919,0.35212,0.04716,0.31962,0.0428,4.05435,1.02827,120
26,cross_domain_attack+var_conf_pro+H_final,3,20,0.27318,0.03148,0.43832,0.05051,0.33659,0.03879,4.02613,0.97453,120
27,cross_domain_attack+var_conf_pro+delta_H,3,5,0.37817,0.06812,0.15169,0.02732,0.21653,0.039,5.08176,1.66728,120
27,cross_domain_attack+var_conf_pro+delta_H,3,10,0.32359,0.04628,0.2596,0.03713,0.28809,0.0412,4.30794,1.11853,120
27,cross_domain_attack+var_conf_pro+delta_H,3,15,0.29249,0.03873,0.35198,0.0466,0.31949,0.0423,4.04635,0.99342,120
27,cross_domain_attack+var_conf_pro+delta_H,3,20,0.26992,0.03053,0.4331,0.04899,0.33257,0.03762,3.91306,0.91465,120
28,cross_domain_attack+var_conf_pro+semantic_coherence,3,5,0.38638,0.06611,0.15499,0.02652,0.22124,0.03785,5.26347,1.61404,120
28,cross_domain_attack+var_conf_pro+semantic_coherence,3,10,0.33058,0.04898,0.26521,0.03929,0.29431,0.04361,4.49362,1.1772,120
28,cross_domain_attack+var_conf_pro+semantic_coherence,3,15,0.29945,0.0375,0.36036,0.04512,0.32709,0.04096,4.23787,1.02345,120
28,cross_domain_attack+var_conf_pro+semantic_coherence,3,20,0.27383,0.02943,0.43936,0.04722,0.33738,0.03626,4.03291,0.91799,120
29,cross_domain_attack+H_final+delta_H,3,5,0.3777,0.06977,0.15151,0.02799,0.21626,0.03995,5.0846,1.74084,120
29,cross_domain_attack+H_final+delta_H,3,10,0.32306,0.04825,0.25918,0.03871,0.28762,0.04295,4.30342,1.1424,120
29,cross_domain_attack+H_final+delta_H,3,15,0.29182,0.03648,0.35118,0.0439,0.31876,0.03985,4.01688,0.95109,120
29,cross_domain_attack+H_final+delta_H,3,20,0.27104,0.02901,0.43489,0.04655,0.33395,0.03574,3.93895,0.88219,120
30,cross_domain_attack+H_final+semantic_coherence,3,5,0.38979,0.07354,0.15636,0.0295,0.22319,0.04211,5.40721,1.90081,120
