T_pct,model,feature,n_seeds,imp_mean,imp_std,imp_within_std
5,XGB,CTS,20,0.01649,0.00868,0.00819
5,XGB,H_final,20,0.01142,0.00953,0.00823
5,XGB,INV,20,0.00101,0.00496,0.00421
5,XGB,MF_B60K6,20,-0.00016,0.00046,0.00012
5,XGB,MF_F01L1,12,8e-05,0.00023,9e-05
5,XGB,MF_F01N3,20,-4e-05,0.0001,8e-05
5,XGB,MF_F02B33,20,0.00022,0.00109,0.00093
5,XGB,MF_F02B37,20,0.00502,0.00158,0.00271
5,XGB,MF_F02B75,1,0.0001,,0.00029
5,XGB,MF_F02D23,20,0.00041,0.00161,0.00141
5,XGB,MF_F02D41,20,0.00123,0.00339,0.00313
5,XGB,MF_F02M21,6,0.00066,0.00159,0.00042
5,XGB,MF_F02M25,20,0.00015,0.00097,0.00116
5,XGB,MF_F02M37,20,0.00035,0.00115,0.00075
5,XGB,MF_F02N11,20,0.00043,0.00073,0.00057
5,XGB,MF_F02P5,1,0.0,,0.0
5,XGB,MF_other,20,0.00053,0.00195,0.00186
5,XGB,NC,20,-0.00108,0.00589,0.00524
5,XGB,PK,20,0.02517,0.00653,0.01002
5,XGB,PKH,20,0.00377,0.00627,0.00496
5,XGB,PTS,20,0.00722,0.00707,0.00527
5,XGB,SK,20,0.02138,0.00829,0.00549
5,XGB,STO,20,0.00748,0.0064,0.00686
5,XGB,TCT,20,0.0401,0.00934,0.01201
5,XGB,TKH,20,0.00651,0.00667,0.00515
5,XGB,TS,20,0.01898,0.00638,0.0087
5,XGB,TTS,20,0.00977,0.00703,0.00583
5,XGB,conf_gap_change,20,0.00366,0.00675,0.00765
5,XGB,cross_domain_attack,20,0.00762,0.00758,0.00595
5,XGB,delta_H,20,0.00761,0.00674,0.00734
5,XGB,semantic_coherence,20,0.00151,0.01065,0.00813
5,XGB,var_conf_pro,20,-0.00636,0.0069,0.00584
10,FFN,CKH,20,0.0729,0.02726,0.01644
10,FFN,COL,20,0.00115,0.00507,0.00388
10,FFN,CTO,20,0.00654,0.00858,0.00686
10,FFN,CTS,20,0.02489,0.01893,0.01142
10,FFN,H_final,20,0.04326,0.01983,0.01118
10,FFN,INV,20,0.00259,0.00513,0.00475
10,FFN,MF_B60K6,19,0.00266,0.00274,0.00312
10,FFN,MF_F01L1,13,0.00233,0.0038,0.00284
10,FFN,MF_F01N3,20,0.00278,0.00331,0.00387
10,FFN,MF_F02B33,20,0.01002,0.00915,0.00621
10,FFN,MF_F02B37,20,0.00514,0.00708,0.00578
10,FFN,MF_F02D23,20,0.0064,0.01058,0.00566
10,FFN,MF_F02D41,20,0.01011,0.01237,0.00672
10,FFN,MF_F02M21,5,0.0013,0.0045,0.00259
10,FFN,MF_F02M25,20,0.00471,0.00587,0.0043
10,FFN,MF_F02M37,20,0.00482,0.00697,0.00299
10,FFN,MF_F02N11,19,0.00064,0.00358,0.00255
10,FFN,MF_F02P5,4,-0.00139,0.00327,0.00283
10,FFN,MF_other,20,0.02275,0.01775,0.00886
10,FFN,NC,20,0.00826,0.00595,0.00468
10,FFN,PK,20,0.0015,0.00311,0.00263
10,FFN,PKH,20,0.00905,0.00789,0.0071
10,FFN,PTS,20,0.009,0.00895,0.00513
10,FFN,SK,20,0.01248,0.00955,0.00357
10,FFN,STO,20,0.02985,0.01271,0.01036
10,FFN,TCT,20,0.06138,0.00874,0.01255
10,FFN,TKH,20,0.00967,0.00796,0.0072
10,FFN,TS,20,0.0362,0.00945,0.01037
10,FFN,TTS,20,0.00915,0.00938,0.00522
10,FFN,conf_gap_change,20,0.00179,0.00818,0.00636
10,FFN,cross_domain_attack,20,0.0037,0.00925,0.00683
10,FFN,delta_H,20,0.01315,0.01323,0.00792
10,FFN,semantic_coherence,20,0.00068,0.00473,0.00538
10,FFN,var_conf_pro,20,0.00025,0.00638,0.00528
10,GBT,CKH,20,0.04425,0.02472,0.00688
10,GBT,COL,20,5e-05,0.00036,0.00043
10,GBT,CTO,20,0.00415,0.00261,0.00321
10,GBT,CTS,20,0.02279,0.02023,0.00668
10,GBT,H_final,20,0.01129,0.00632,0.00491
10,GBT,INV,20,0.00247,0.00283,0.00204
10,GBT,MF_B60K6,19,-4e-05,0.00044,0.00028
10,GBT,MF_F01L1,13,0.00013,0.00022,0.00022
10,GBT,MF_F01N3,20,-4e-05,7e-05,8e-05
10,GBT,MF_F02B33,20,0.00176,0.00153,0.00145
10,GBT,MF_F02B37,20,-0.00024,0.00131,0.00093
10,GBT,MF_F02D23,20,0.00033,0.00056,0.00054
10,GBT,MF_F02D41,20,0.00079,0.00102,0.00097
10,GBT,MF_F02M21,5,1e-05,0.00012,0.00022
10,GBT,MF_F02M25,20,0.0003,0.00077,0.00079
10,GBT,MF_F02M37,20,0.00056,0.00123,0.00089
10,GBT,MF_F02N11,19,-3e-05,0.00086,0.00033
10,GBT,MF_F02P5,4,-0.00044,0.00037,0.00043
10,GBT,MF_other,20,-8e-05,0.00056,0.00027
10,GBT,NC,20,0.00789,0.00343,0.00353
10,GBT,PK,20,0.01618,0.00391,0.00577
10,GBT,PKH,20,0.0449,0.01762,0.00939
10,GBT,PTS,20,0.03237,0.02345,0.0055
10,GBT,SK,20,0.0121,0.00425,0.00268
10,GBT,STO,20,0.01016,0.00393,0.0042
10,GBT,TCT,20,0.04838,0.0079,0.00941
10,GBT,TKH,20,0.05432,0.02163,0.00888
10,GBT,TS,20,0.03978,0.00718,0.00872
10,GBT,TTS,20,0.02594,0.01685,0.00682
10,GBT,conf_gap_change,20,0.00584,0.00583,0.00414
10,GBT,cross_domain_attack,20,0.00065,0.00337,0.00188
10,GBT,delta_H,20,0.00329,0.00406,0.00378
10,GBT,semantic_coherence,20,0.00178,0.00458,0.0035
10,GBT,var_conf_pro,20,0.00155,0.00298,0.00253
10,LogReg,CKH,20,0.0171,0.00752,0.00684
10,LogReg,COL,20,-3e-05,0.00084,0.00074
10,LogReg,CTO,20,0.00057,0.00152,0.00115
10,LogReg,CTS,20,0.00428,0.00328,0.00331
10,LogReg,H_final,20,0.0261,0.00645,0.00667
10,LogReg,INV,20,0.00263,0.00201,0.0021
10,LogReg,MF_B60K6,19,-0.00021,0.00066,0.0005
10,LogReg,MF_F01L1,13,-0.00025,0.00054,0.00049
10,LogReg,MF_F01N3,20,0.0007,0.00097,0.00129
10,LogReg,MF_F02B33,20,0.00145,0.00168,0.00158
10,LogReg,MF_F02B37,20,0.00431,0.00258,0.003
10,LogReg,MF_F02D23,20,-0.00041,0.00105,0.0004
10,LogReg,MF_F02D41,20,0.00186,0.00147,0.00206
10,LogReg,MF_F02M21,5,-5e-05,0.00013,0.00012
10,LogReg,MF_F02M25,20,0.00018,0.00089,0.0009
10,LogReg,MF_F02M37,20,0.00195,0.00206,0.00155
10,LogReg,MF_F02N11,19,-0.00046,0.00091,0.0005
10,LogReg,MF_F02P5,4,-0.00018,0.00056,0.00017
10,LogReg,MF_other,20,4e-05,0.00116,0.00091
10,LogReg,NC,20,0.00651,0.00199,0.00266
10,LogReg,PK,20,0.0023,0.00129,0.00101
10,LogReg,PKH,20,0.00046,0.00114,0.00147
10,LogReg,PTS,20,0.00016,0.0007,0.00098
10,LogReg,SK,20,0.00756,0.00326,0.00181
10,LogReg,STO,20,0.03858,0.0095,0.0089
10,LogReg,TCT,20,0.06843,0.00954,0.01314
10,LogReg,TKH,20,0.00063,0.00136,0.00169
10,LogReg,TS,20,0.05357,0.00741,0.01085
10,LogReg,TTS,20,0.00015,0.0007,0.00097
10,LogReg,conf_gap_change,20,-0.00025,0.00057,0.00047
10,LogReg,cross_domain_attack,20,-0.00017,0.00176,0.00106
10,LogReg,delta_H,20,0.00569,0.00336,0.00269
10,LogReg,semantic_coherence,20,-0.00011,0.00039,0.00048
10,LogReg,var_conf_pro,20,-0.00038,0.00099,0.00073
10,RF,CKH,20,0.0275,0.00567,0.00671
10,RF,COL,20,0.00063,0.00081,0.00071
10,RF,CTO,20,0.0023,0.00268,0.0033
10,RF,CTS,20,0.02051,0.00575,0.0066
10,RF,H_final,20,0.00297,0.00383,0.00395
10,RF,INV,20,0.00189,0.00281,0.0023
10,RF,MF_B60K6,19,0.00022,0.00074,0.00053
10,RF,MF_F01L1,13,-0.0001,0.00034,0.00032
10,RF,MF_F01N3,20,-0.00027,0.00027,0.00042
10,RF,MF_F02B33,20,0.00161,0.00171,0.00148
10,RF,MF_F02B37,20,0.00021,0.00096,0.00066
10,RF,MF_F02D23,20,0.00103,0.0016,0.00104
10,RF,MF_F02D41,20,-2e-05,0.0008,0.00078
10,RF,MF_F02M21,5,-0.00013,0.00033,0.00046
10,RF,MF_F02M25,20,0.00105,0.0012,0.00082
10,RF,MF_F02M37,20,0.00082,0.00105,0.00076
10,RF,MF_F02N11,19,-0.0003,0.00058,0.00057
10,RF,MF_F02P5,4,0.00012,0.00032,0.00042
10,RF,MF_other,20,-0.00039,0.00102,0.00078
10,RF,NC,20,0.00525,0.00353,0.00324
10,RF,PK,20,0.01491,0.00385,0.0054
10,RF,PKH,20,0.02207,0.00762,0.00717
10,RF,PTS,20,0.01448,0.00582,0.00642
10,RF,SK,20,0.01087,0.00355,0.00291
10,RF,STO,20,0.01285,0.00399,0.00455
10,RF,TCT,20,0.05034,0.00801,0.0086
10,RF,TKH,20,0.02518,0.00689,0.00725
10,RF,TS,20,0.03609,0.00549,0.00768
10,RF,TTS,20,0.01649,0.00524,0.00646
10,RF,conf_gap_change,20,0.00332,0.00488,0.00323
10,RF,cross_domain_attack,20,0.00146,0.00269,0.00303
10,RF,delta_H,20,-0.00124,0.00297,0.00348
10,RF,semantic_coherence,20,0.00024,0.00265,0.00249
10,RF,var_conf_pro,20,0.00013,0.00216,0.00219
10,SVM,CKH,20,0.0395,0.0123,0.01119
10,SVM,COL,20,0.00062,0.00574,0.00638
10,SVM,CTO,20,0.0066,0.00996,0.00812
10,SVM,CTS,20,0.01246,0.00948,0.00868
10,SVM,H_final,20,0.02664,0.01143,0.00965
10,SVM,INV,20,0.00478,0.00818,0.00551
10,SVM,MF_B60K6,19,-0.00096,0.00526,0.00286
10,SVM,MF_F01L1,13,0.00065,0.00209,0.00353
10,SVM,MF_F01N3,20,0.00024,0.00397,0.00359
10,SVM,MF_F02B33,20,0.01649,0.00738,0.00643
10,SVM,MF_F02B37,20,0.00455,0.00703,0.00573
10,SVM,MF_F02D23,20,0.00867,0.00891,0.00549
10,SVM,MF_F02D41,20,0.01405,0.00948,0.00758
10,SVM,MF_F02M21,5,-0.00177,0.0023,0.00274
10,SVM,MF_F02M25,20,0.00503,0.00429,0.00388
10,SVM,MF_F02M37,20,0.00576,0.00564,0.00348
10,SVM,MF_F02N11,19,-0.00041,0.00423,0.00313
10,SVM,MF_F02P5,4,0.00126,0.0035,0.00263
10,SVM,MF_other,20,0.01939,0.01364,0.01158
10,SVM,NC,20,0.00648,0.007,0.0058
10,SVM,PK,20,0.00353,0.00225,0.00312
10,SVM,PKH,20,0.01362,0.00688,0.00619
10,SVM,PTS,20,0.00054,0.00235,0.00472
10,SVM,SK,20,0.01561,0.00897,0.00479
10,SVM,STO,20,0.02182,0.00679,0.00972
10,SVM,TCT,20,0.04395,0.00874,0.00912
10,SVM,TKH,20,0.01522,0.00743,0.00639
10,SVM,TS,20,0.03491,0.00654,0.00959
10,SVM,TTS,20,0.00057,0.00249,0.00484
10,SVM,conf_gap_change,20,-0.00043,0.00753,0.00793
10,SVM,cross_domain_attack,20,0.00273,0.01207,0.00733
10,SVM,delta_H,20,0.00478,0.00614,0.00605
10,SVM,semantic_coherence,20,0.00625,0.00496,0.00693
10,SVM,var_conf_pro,20,0.00257,0.00562,0.00644
10,XGB,CKH,20,0.0322,0.00792,0.00805
10,XGB,COL,20,7e-05,0.00034,0.00037
10,XGB,CTO,20,0.00478,0.00593,0.00472
10,XGB,CTS,20,0.0151,0.00648,0.0059
10,XGB,H_final,20,0.00567,0.00651,0.00524
10,XGB,INV,20,0.00166,0.00314,0.00305
10,XGB,MF_B60K6,19,-1e-05,0.00023,0.00018
10,XGB,MF_F01L1,13,0.00011,0.00031,0.00029
10,XGB,MF_F01N3,20,1e-05,0.00016,0.00018
10,XGB,MF_F02B33,20,0.00118,0.00164,0.00132
10,XGB,MF_F02B37,20,0.00064,0.00161,0.00099
10,XGB,MF_F02D23,20,0.0002,0.00126,0.001
10,XGB,MF_F02D41,20,0.00152,0.00152,0.0017
10,XGB,MF_F02M21,5,-0.00023,0.00019,0.00032
10,XGB,MF_F02M25,20,0.00015,0.00085,0.00066
10,XGB,MF_F02M37,20,0.00072,0.00114,0.00076
10,XGB,MF_F02N11,19,-0.00013,0.00045,0.00028
10,XGB,MF_F02P5,4,-0.00035,0.00038,0.00027
10,XGB,MF_other,20,0.00052,0.00164,0.0014
10,XGB,NC,20,0.00679,0.00429,0.00493
10,XGB,PK,20,0.01589,0.00711,0.00559
10,XGB,PKH,20,0.00893,0.00666,0.0043
10,XGB,PTS,20,0.00996,0.00559,0.00418
10,XGB,SK,20,0.01734,0.00502,0.00336
10,XGB,STO,20,0.01195,0.00609,0.00537
10,XGB,TCT,20,0.04432,0.00804,0.009
10,XGB,TKH,20,0.01023,0.00665,0.00429
10,XGB,TS,20,0.03241,0.0061,0.0081
10,XGB,TTS,20,0.00641,0.00637,0.00407
10,XGB,conf_gap_change,20,0.00111,0.00461,0.00462
10,XGB,cross_domain_attack,20,0.00156,0.00324,0.00362
10,XGB,delta_H,20,0.00174,0.00435,0.00461
10,XGB,semantic_coherence,20,0.00723,0.00625,0.00636
10,XGB,var_conf_pro,20,0.00071,0.00283,0.00444
15,FFN,CKH,20,0.07275,0.02116,0.01455
15,FFN,COL,20,0.00199,0.00382,0.00407
15,FFN,CTO,20,0.01086,0.00854,0.00679
15,FFN,CTS,20,0.04345,0.02197,0.00984
15,FFN,H_final,20,0.0482,0.0239,0.0108
15,FFN,INV,20,0.00136,0.00426,0.00395
15,FFN,MF_B60K6,19,0.00258,0.00603,0.00312
15,FFN,MF_F01L1,12,0.00289,0.00385,0.00247
15,FFN,MF_F01N3,20,0.00188,0.00397,0.00347
15,FFN,MF_F02B33,20,0.01191,0.01247,0.00634
15,FFN,MF_F02B37,20,0.00528,0.00465,0.0046
15,FFN,MF_F02D23,20,0.00997,0.00786,0.00448
15,FFN,MF_F02D41,20,0.01505,0.01092,0.0061
15,FFN,MF_F02M21,9,0.0012,0.0034,0.00204
15,FFN,MF_F02M25,20,0.00445,0.00632,0.00322
15,FFN,MF_F02M37,20,0.00551,0.00634,0.00282
15,FFN,MF_F02N11,19,0.00296,0.0045,0.00256
15,FFN,MF_F02P5,1,-0.0022,,0.00205
15,FFN,MF_other,20,0.02536,0.01859,0.00852
15,FFN,NC,20,0.00881,0.00447,0.00492
15,FFN,PK,20,0.00471,0.00384,0.0027
15,FFN,PKH,20,0.01586,0.0095,0.00714
15,FFN,PTS,20,0.00603,0.00657,0.00443
15,FFN,SK,20,0.00835,0.00455,0.00279
15,FFN,STO,20,0.03109,0.00886,0.00827
15,FFN,TCT,20,0.05761,0.01269,0.00957
15,FFN,TKH,20,0.01686,0.01005,0.00718
15,FFN,TS,20,0.03451,0.00702,0.0091
15,FFN,TTS,20,0.00638,0.00709,0.00446
15,FFN,conf_gap_change,20,0.00017,0.00589,0.0061
15,FFN,cross_domain_attack,20,0.00452,0.0087,0.006
15,FFN,delta_H,20,0.01675,0.01128,0.0076
15,FFN,semantic_coherence,20,-0.00023,0.00517,0.0041
15,FFN,var_conf_pro,20,0.00322,0.00525,0.00443
15,GBT,CKH,20,0.04,0.01123,0.0075
15,GBT,COL,20,0.00034,0.00043,0.00062
15,GBT,CTO,20,0.00366,0.00437,0.00304
15,GBT,CTS,20,0.02995,0.01071,0.00592
15,GBT,H_final,20,0.01268,0.0083,0.00507
15,GBT,INV,20,0.0023,0.00198,0.00131
15,GBT,MF_B60K6,19,-0.00014,0.00044,0.00031
15,GBT,MF_F01L1,12,-2e-05,0.00021,0.00025
15,GBT,MF_F01N3,20,-2e-05,8e-05,7e-05
15,GBT,MF_F02B33,20,0.00183,0.00133,0.00111
15,GBT,MF_F02B37,20,0.00195,0.0011,0.00133
15,GBT,MF_F02D23,20,0.00067,0.00066,0.00073
15,GBT,MF_F02D41,20,0.00051,0.00054,0.00061
15,GBT,MF_F02M21,9,-5e-05,0.00052,0.00055
15,GBT,MF_F02M25,20,5e-05,0.00062,0.00045
15,GBT,MF_F02M37,20,0.00033,0.00109,0.00079
15,GBT,MF_F02N11,19,1e-05,0.00036,0.00039
15,GBT,MF_F02P5,1,-0.00014,,0.00048
15,GBT,MF_other,20,-0.00012,0.00022,0.00013
15,GBT,NC,20,0.00804,0.00416,0.00356
15,GBT,PK,20,0.02023,0.00482,0.00544
15,GBT,PKH,20,0.02858,0.0159,0.00602
15,GBT,PTS,20,0.00955,0.01013,0.00309
15,GBT,SK,20,0.00886,0.00343,0.00212
15,GBT,STO,20,0.01096,0.00448,0.00407
15,GBT,TCT,20,0.0518,0.00787,0.00841
15,GBT,TKH,20,0.03326,0.01214,0.00718
15,GBT,TS,20,0.03336,0.0046,0.00755
15,GBT,TTS,20,0.01771,0.01118,0.00479
15,GBT,conf_gap_change,20,0.00426,0.00583,0.00327
15,GBT,cross_domain_attack,20,0.00194,0.00337,0.00229
15,GBT,delta_H,20,0.0071,0.00722,0.00348
15,GBT,semantic_coherence,20,0.00097,0.00232,0.00292
15,GBT,var_conf_pro,20,0.0006,0.00236,0.00216
