T_pct,target_metric,covariate,spearman_rho,p_value,n_fields
15,DOR,ipc_maingroup_distinct,0.571,0.139,8
15,DOR,H_final_mean,0.69,0.058,8
15,DOR,delta_H_mean,-0.833,0.0102,8
15,DOR,semantic_coherence_mean,0.5,0.207,8
15,DOR,BL_AUROC,0.143,0.7358,8
20,DOR,n,0.262,0.5309,8
20,DOR,Y_rate_T5,-0.167,0.6932,8
20,DOR,Y_rate_T10,-0.238,0.5702,8
20,DOR,Y_rate_T15,-0.238,0.5702,8
20,DOR,Y_rate_T20,-0.119,0.7789,8
20,DOR,PK_mean,0.0,1.0,8
20,DOR,SK_mean,-0.119,0.7789,8
20,DOR,TCT_mean,0.333,0.4198,8
20,DOR,CKH_mean,-0.048,0.9108,8
20,DOR,asg_HHI,0.119,0.7789,8
20,DOR,top5_share,0.452,0.2604,8
20,DOR,zX,0.119,0.7789,8
20,DOR,zY,-0.19,0.6514,8
20,DOR,ipc_subclass_entropy,0.262,0.5309,8
20,DOR,ipc_subclass_distinct,0.252,0.5479,8
20,DOR,ipc_subclass_top1_share,-0.143,0.7358,8
20,DOR,ipc_tags_per_patent_mean,0.286,0.4927,8
20,DOR,ipc_maingroup_entropy,0.357,0.3851,8
20,DOR,ipc_maingroup_distinct,0.286,0.4927,8
20,DOR,H_final_mean,0.405,0.3199,8
20,DOR,delta_H_mean,-0.5,0.207,8
20,DOR,semantic_coherence_mean,0.762,0.028,8
20,DOR,BL_AUROC,-0.238,0.5702,8
