T_pct,seed,feature,mean_abs_shap
5,1,PTS,0.3161866366863251
5,1,MF_F02D41,0.14405661821365356
5,1,MF_F02B33,0.032621439546346664
5,1,MF_F02D23,0.055584412068128586
5,1,MF_F02B37,0.09483673423528671
5,1,MF_F02M25,0.008703446947038174
5,1,MF_F01N3,0.0
5,1,MF_B60K6,0.0028309926856309175
5,1,MF_F02N11,0.03096582740545273
5,1,MF_F02M37,0.015526341274380684
5,1,MF_F01L1,0.0
5,1,MF_other,0.05923062190413475
5,1,var_conf_pro,0.31348446011543274
5,1,H_final,0.47046104073524475
5,1,delta_H,0.44706642627716064
5,1,conf_gap_change,0.3518390953540802
5,1,cross_domain_attack,0.4323713779449463
5,1,semantic_coherence,0.5017572641372681
5,2,CTO,0.3847305476665497
5,2,STO,0.378260999917984
5,2,PK,0.6185701489448547
5,2,SK,0.3660016655921936
5,2,TCT,0.9158720970153809
5,2,TS,0.4911791682243347
5,2,NC,0.2611341178417206
5,2,COL,0.005379040259867907
5,2,INV,0.2249487340450287
5,2,TKH,0.23828716576099396
5,2,CKH,0.4220653474330902
5,2,PKH,0.34093815088272095
5,2,TTS,0.3120272755622864
5,2,CTS,0.45624351501464844
5,2,PTS,0.31953296065330505
5,2,MF_F02D41,0.22507555782794952
5,2,MF_F02B33,0.03875168785452843
5,2,MF_F02D23,0.06971317529678345
5,2,MF_F02B37,0.08558734506368637
5,2,MF_F02M25,0.02222558856010437
5,2,MF_F01N3,0.00206691212952137
5,2,MF_F02N11,0.015618506819009781
5,2,MF_B60K6,0.0
5,2,MF_F02M37,0.024179445579648018
5,2,MF_F02M21,0.023647332563996315
5,2,MF_other,0.09663709998130798
5,2,var_conf_pro,0.3101310133934021
5,2,H_final,0.3302217721939087
5,2,delta_H,0.4358171820640564
5,2,conf_gap_change,0.4002690315246582
5,2,cross_domain_attack,0.37497881054878235
5,2,semantic_coherence,0.574550986289978
5,3,CTO,0.37714269757270813
5,3,STO,0.4265729784965515
5,3,PK,0.6688876152038574
5,3,SK,0.3886023163795471
5,3,TCT,0.8958552479743958
5,3,TS,0.47122737765312195
5,3,NC,0.2318049967288971
5,3,COL,0.006805317010730505
5,3,INV,0.22064781188964844
5,3,TKH,0.2932232916355133
5,3,CKH,0.3916085362434387
5,3,PKH,0.3487298786640167
5,3,TTS,0.3128190040588379
5,3,CTS,0.356748104095459
5,3,PTS,0.2501145005226135
5,3,MF_F02D41,0.09055633097887039
5,3,MF_F02B33,0.020853761583566666
5,3,MF_F02D23,0.03134554624557495
5,3,MF_F02B37,0.08099798858165741
5,3,MF_F02M25,0.05700479820370674
5,3,MF_F01N3,0.0
5,3,MF_F02M37,0.026303689926862717
5,3,MF_F02N11,0.007000354118645191
5,3,MF_B60K6,0.004073962569236755
5,3,MF_F02M21,0.021984616294503212
5,3,MF_other,0.13289006054401398
5,3,var_conf_pro,0.3582098186016083
5,3,H_final,0.42819464206695557
5,3,delta_H,0.4113398492336273
5,3,conf_gap_change,0.47390657663345337
5,3,cross_domain_attack,0.41627663373947144
5,3,semantic_coherence,0.5016409158706665
5,4,CTO,0.3521748185157776
5,4,STO,0.4293769299983978
5,4,PK,0.6019865870475769
5,4,SK,0.38815683126449585
5,4,TCT,0.9135335087776184
5,4,TS,0.3808937966823578
5,4,NC,0.28604423999786377
5,4,COL,0.0038822954520583153
5,4,INV,0.167684406042099
5,4,TKH,0.40724730491638184
5,4,CKH,0.5100264549255371
5,4,PKH,0.30534541606903076
5,4,TTS,0.33061331510543823
5,4,CTS,0.4565018117427826
5,4,PTS,0.30483198165893555
5,4,MF_F02D41,0.13581040501594543
5,4,MF_F02B33,0.015006313100457191
5,4,MF_F02D23,0.027509840205311775
5,4,MF_F02B37,0.07445508241653442
5,4,MF_F02M25,0.026464087888598442
5,4,MF_F01N3,0.0
5,4,MF_F02N11,0.0190968606621027
5,4,MF_F02M37,0.020370732992887497
5,4,MF_B60K6,0.014332445338368416
5,4,MF_F01L1,0.0
