T_pct,config,model,Y_rate_pct,n_seeds,AUROC_mean,AUPRC_mean,Precision_mean,Recall_mean,F1_mean,Accuracy_mean,DOR_mean,AUROC_std,AUPRC_std,Precision_std,Recall_std,F1_std,Accuracy_std,DOR_std
15,+6focal,RF,15.83,20,0.755,0.3971,0.4085,0.3918,0.4,0.8135,5.4668,0.0155,0.0311,0.0329,0.0324,0.0326,0.01,1.0774
15,+6focal,SVM,15.83,20,0.6742,0.2896,0.3101,0.2936,0.3016,0.7843,2.9847,0.0172,0.0202,0.0223,0.0211,0.0216,0.0067,0.4125
15,+6focal,XGB,15.83,20,0.7263,0.348,0.3704,0.3507,0.3603,0.8024,4.343,0.0184,0.0259,0.0355,0.0336,0.0345,0.0107,0.8711
15,BIBLIO,FFN,15.83,20,0.7237,0.3367,0.3669,0.3473,0.3568,0.8013,4.2369,0.0144,0.0277,0.0306,0.029,0.0298,0.0092,0.7952
15,BIBLIO,GBT,15.83,20,0.745,0.3641,0.3904,0.3696,0.3797,0.8084,4.8284,0.0133,0.0175,0.021,0.0199,0.0204,0.0063,0.5988
15,BIBLIO,LogReg,15.83,20,0.7291,0.3359,0.3671,0.3476,0.3571,0.8014,4.2141,0.0133,0.0236,0.0227,0.0215,0.0221,0.0068,0.5723
15,BIBLIO,RF,15.83,20,0.7525,0.396,0.3971,0.3809,0.3888,0.81,5.0798,0.0164,0.0284,0.0277,0.0273,0.0274,0.0084,0.7937
15,BIBLIO,SVM,15.83,20,0.6554,0.2799,0.2977,0.2818,0.2895,0.7805,2.7686,0.0172,0.017,0.0257,0.0244,0.025,0.0077,0.4337
15,BIBLIO,XGB,15.83,20,0.7112,0.3429,0.3547,0.3358,0.345,0.7977,3.9205,0.0166,0.0242,0.025,0.0236,0.0243,0.0075,0.602
20,+25,FFN,21.17,20,0.6546,0.3225,0.3449,0.3265,0.3354,0.7263,2.462,0.0211,0.0239,0.029,0.0275,0.0283,0.0116,0.4351
20,+25,GBT,21.17,20,0.7363,0.4196,0.4329,0.4098,0.4211,0.7616,4.1391,0.0098,0.0181,0.0163,0.0155,0.0159,0.0065,0.393
20,+25,LogReg,21.17,20,0.7213,0.4068,0.4294,0.4065,0.4176,0.7602,4.0597,0.0129,0.0164,0.0187,0.0177,0.0182,0.0075,0.4662
20,+25,RF,21.17,20,0.741,0.4427,0.4488,0.4302,0.4393,0.7677,4.5888,0.0126,0.0207,0.0184,0.0187,0.0185,0.0074,0.4935
20,+25,SVM,21.17,20,0.6644,0.3318,0.3521,0.3333,0.3425,0.7292,2.5615,0.0137,0.0202,0.0237,0.0224,0.023,0.0095,0.3689
20,+25,XGB,21.17,20,0.7147,0.4061,0.4171,0.3948,0.4057,0.7552,3.7823,0.0115,0.016,0.0225,0.0213,0.0219,0.009,0.5233
20,+6focal,FFN,21.17,20,0.7045,0.3887,0.4123,0.3903,0.401,0.7533,3.6737,0.0148,0.0173,0.0216,0.0205,0.021,0.0087,0.4802
20,+6focal,GBT,21.17,20,0.7357,0.4206,0.4387,0.4153,0.4267,0.7639,4.29,0.0114,0.0157,0.0185,0.0176,0.018,0.0074,0.4498
20,+6focal,LogReg,21.17,20,0.724,0.4132,0.4342,0.411,0.4223,0.7621,4.1761,0.0132,0.0161,0.0186,0.0176,0.0181,0.0075,0.4752
20,+6focal,RF,21.17,20,0.7479,0.4506,0.4576,0.4382,0.4477,0.7713,4.849,0.0134,0.0223,0.0217,0.0212,0.0214,0.0088,0.6443
20,+6focal,SVM,21.17,20,0.6793,0.3583,0.3845,0.364,0.374,0.7422,3.1099,0.0107,0.0171,0.0213,0.0202,0.0207,0.0085,0.3991
20,+6focal,XGB,21.17,20,0.7178,0.4089,0.4236,0.401,0.412,0.7578,3.9185,0.0107,0.0144,0.0174,0.0165,0.0169,0.007,0.4191
20,BIBLIO,FFN,21.17,20,0.7143,0.4036,0.4257,0.403,0.414,0.7587,3.9828,0.0127,0.0244,0.0229,0.0217,0.0223,0.0092,0.5509
20,BIBLIO,GBT,21.17,20,0.7326,0.4167,0.4345,0.4113,0.4226,0.7622,4.1919,0.0117,0.0198,0.0211,0.02,0.0206,0.0085,0.5348
20,BIBLIO,LogReg,21.17,20,0.7169,0.4035,0.4204,0.398,0.4089,0.7566,3.8443,0.0132,0.0188,0.017,0.0161,0.0165,0.0068,0.4046
20,BIBLIO,RF,21.17,20,0.7452,0.44,0.4493,0.4328,0.4409,0.7678,4.6349,0.0126,0.0223,0.0233,0.0227,0.0229,0.0095,0.6531
20,BIBLIO,SVM,21.17,20,0.6627,0.347,0.3669,0.3473,0.3568,0.7351,2.7964,0.0127,0.0173,0.0214,0.0202,0.0208,0.0086,0.344
20,BIBLIO,XGB,21.17,20,0.7063,0.3991,0.4114,0.3895,0.4002,0.753,3.6449,0.0112,0.0208,0.0179,0.0169,0.0174,0.0072,0.3819
