AUROC,AUPRC,Precision,Recall,F1,Accuracy,DOR,TP,FP,FN,TN,field,T_pct,Y_rate_pct,seed,config,model,n_train,n_test,Y_pos_train,Y_pos_test
0.7301965723539203,0.1351556228429699,0.07142857142857142,0.046511627906976744,0.056338028169014086,0.8803571428571428,1.1172993862241418,2,26,41,491,01,5,7.65,5,BIBLIO,LogReg,2236,560,171,43
0.6166164365075796,0.09978902296132022,0.07142857142857142,0.046511627906976744,0.056338028169014086,0.8803571428571428,1.1172993862241418,2,26,41,491,01,5,7.65,5,BIBLIO,SVM,2236,560,171,43
0.6441905447348297,0.1116702646883734,0.07142857142857142,0.046511627906976744,0.056338028169014086,0.8803571428571428,1.1172993862241418,2,26,41,491,01,5,7.65,5,BIBLIO,FFN,2236,560,171,43
0.7282173541451127,0.1717347668481712,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,5,+6focal,RF,2236,560,171,43
0.7833655705996131,0.23566508725407168,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,5,+6focal,GBT,2236,560,171,43
0.7154873824839189,0.1816402990853118,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,5,+6focal,XGB,2236,560,171,43
0.765372677792272,0.15730957936289242,0.10714285714285714,0.06976744186046512,0.08450704225352113,0.8839285714285714,1.6690873880416364,3,25,40,492,01,5,7.65,5,+6focal,LogReg,2236,560,171,43
0.6825603886464847,0.1378297990648543,0.17857142857142858,0.11627906976744186,0.14084507042253522,0.8910714285714286,3.0060790273556233,5,23,38,494,01,5,7.65,5,+6focal,SVM,2236,560,171,43
0.6785569699968512,0.1546525787108139,0.25,0.16279069767441862,0.19718309859154928,0.8982142857142857,4.745141764893278,7,21,36,496,01,5,7.65,5,+6focal,FFN,2236,560,171,43
0.780914038954613,0.23443985858344274,0.35714285714285715,0.23255813953488372,0.28169014084507044,0.9089285714285714,8.462686567164178,10,18,33,499,01,5,7.65,6,BIBLIO,RF,2236,560,171,43
