subset_id,subset_label,subset_size,seed,model,AUROC,AUPRC
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,11,SVM,0.6541152797315815,0.21788830101979526
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,11,FFN,0.6997455123214831,0.2382948406354023
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,11,XGB,0.725294436325726,0.27764332817615334
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,12,RF,0.7552775463563647,0.3617311854026889
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,12,LogReg,0.7318000336888877,0.28827146306195495
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,12,GBT,0.7263005504035838,0.30465771977690576
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,12,SVM,0.6723209367331795,0.25152702549053785
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,12,FFN,0.7134486950108578,0.30076971166323613
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,12,XGB,0.7225856676545706,0.30420918366937444
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,13,RF,0.7804964103124417,0.40525197191676043
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,13,LogReg,0.7519359729032081,0.30832531290222787
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,13,GBT,0.748890315355304,0.331237421592896
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,13,SVM,0.6442453461533209,0.21086549355889117
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,13,FFN,0.7143136799646722,0.296015234091286
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,13,XGB,0.7336438174062287,0.30783415302272926
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,14,RF,0.7533882371151386,0.3252314707874244
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,14,LogReg,0.7444470242241312,0.2967599210835531
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,14,GBT,0.7420523816677821,0.30263411706489773
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,14,SVM,0.6048156899165518,0.187896539168722
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,14,FFN,0.6689429428609149,0.23946957609878197
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,14,XGB,0.7199679500311849,0.2754195872195167
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,15,RF,0.7444561293289083,0.33894796272799677
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,15,LogReg,0.7092922146801603,0.2732236872069832
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,15,GBT,0.7350368984371088,0.28342154990622276
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,15,SVM,0.6421739348165549,0.1933012010746474
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,15,FFN,0.6953750620285263,0.26369376077300233
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,15,XGB,0.7258316375075685,0.28803991913991733
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,16,RF,0.7850307524913842,0.3951557226520943
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,16,LogReg,0.7472513964954453,0.2677294683750562
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,16,GBT,0.7625570776255708,0.34018329190223395
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,16,SVM,0.681025416899985,0.2169326244546473
22,cross_domain_attack+conf_gap_change+var_conf_pro,3,16,FFN,0.7142271814692907,0.26841714682406886
