T_pct,field,model,delta_mean,delta_std,wins,n_seeds,t_stat,p_paired,p_bh,sig_bh_05,sig_bh_10
15,08,XGB,0.0193,0.0461,13,20,1.869,0.0771,0.1761,0,0
15,08,LogReg,-0.0053,0.0149,8,20,-1.591,0.1281,0.2366,0,0
15,08,SVM,0.0679,0.0386,20,20,7.863,0.0,0.0,1,1
15,08,FFN,-0.0092,0.0748,8,20,-0.547,0.5905,0.6299,0,0
15,09,RF,-0.0099,0.0169,5,20,-2.615,0.017,0.0629,0,1
15,09,GBT,-0.0139,0.0233,5,20,-2.665,0.0153,0.0612,0,1
15,09,XGB,-0.0081,0.0261,7,20,-1.382,0.1829,0.2881,0,0
15,09,LogReg,0.0039,0.0126,14,20,1.396,0.1789,0.2881,0,0
15,09,SVM,0.0055,0.0356,11,20,0.687,0.5006,0.5638,0,0
15,09,FFN,-0.0181,0.0496,7,20,-1.636,0.1182,0.227,0,0
15,12,RF,0.0227,0.0472,14,20,2.151,0.0446,0.1259,0,0
15,12,GBT,0.0086,0.0603,12,20,0.634,0.5337,0.5822,0,0
15,12,XGB,0.026,0.0499,13,20,2.331,0.0309,0.0989,0,1
15,12,LogReg,0.0237,0.0335,13,20,3.161,0.0051,0.0247,1,1
15,12,SVM,0.0385,0.0405,17,20,4.248,0.0004,0.007,1,1
15,12,FFN,0.0595,0.0839,14,20,3.174,0.005,0.0247,1,1
15,13,RF,-0.0094,0.0347,8,20,-1.214,0.2395,0.3382,0,0
15,13,GBT,0.0119,0.0597,12,20,0.892,0.3834,0.4719,0,0
15,13,XGB,0.0114,0.0657,11,20,0.774,0.4484,0.5381,0,0
15,13,LogReg,0.0118,0.0292,13,20,1.811,0.0859,0.1793,0,0
15,13,SVM,-0.0028,0.0488,7,20,-0.255,0.8016,0.8187,0,0
15,13,FFN,0.019,0.1138,10,20,0.746,0.4645,0.5438,0,0
15,14,RF,-0.0174,0.0368,8,20,-2.109,0.0484,0.1291,0,0
15,14,GBT,-0.0211,0.0848,6,20,-1.114,0.2794,0.3798,0,0
15,14,XGB,0.0189,0.0625,12,20,1.352,0.1924,0.2886,0,0
15,14,LogReg,-0.0106,0.0375,9,20,-1.259,0.2234,0.3249,0,0
15,14,SVM,-0.0228,0.0469,5,20,-2.174,0.0426,0.1259,0,0
15,14,FFN,0.0336,0.109,13,20,1.379,0.1839,0.2881,0,0
20,01,RF,0.006,0.0085,15,20,3.19,0.0048,0.0165,1,1
20,01,GBT,0.0068,0.018,13,20,1.681,0.1092,0.1807,0,0
20,01,XGB,0.02,0.0154,18,20,5.829,0.0,0.0002,1,1
20,01,LogReg,0.0069,0.0069,18,20,4.481,0.0003,0.0014,1,1
